hr,hum,windspeed,temp_c,feels_like_c,casual,registered,fall,spring,summer,winter,date,new,day,year,month,is_holiday,is_workday,weather,target
17,0.39,7,34.3,38.9978,75,174,0,0,1,0,7-24-2011,2011-07-24,Sunday,is_2011,july,no,no,clear,249
18,0.42,11,33.36,38.0012,67,176,0,0,1,0,7-24-2011,2011-07-24,Sunday,is_2011,july,no,no,clear,243
19,0.47,11,32.42,36.998000000000005,70,170,0,0,1,0,7-24-2011,2011-07-24,Sunday,is_2011,july,no,no,clear,240
20,0.49,11,31.48,36.0014,52,143,0,0,1,0,7-24-2011,2011-07-24,Sunday,is_2011,july,no,no,clear,195
21,0.63,9,29.6,36.0014,42,111,0,0,1,0,7-24-2011,2011-07-24,Sunday,is_2011,july,no,no,clear,153
22,0.66,0,28.66,34.0016,23,75,0,0,1,0,7-24-2011,2011-07-24,Sunday,is_2011,july,no,no,clear,98
23,0.7,6,27.72,32.0018,13,37,0,0,1,0,7-24-2011,2011-07-24,Sunday,is_2011,july,no,no,mist,50
0,0.7,0,27.72,32.0018,17,17,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,mist,34
1,0.75,6,27.72,32.9984,4,8,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,mist,12
2,0.79,6,26.78,30.9986,3,3,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,mist,6
3,0.79,0,26.78,30.9986,2,2,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,clear,4
4,0.84,6,25.84,30.9986,0,6,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,clear,6
5,0.84,6,25.84,30.9986,2,22,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,clear,24
6,0.84,6,25.84,30.9986,7,100,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,mist,107
7,0.79,0,26.78,30.9986,20,257,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,mist,277
8,0.75,0,27.72,32.9984,34,353,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,mist,387
9,0.66,0,29.6,36.998000000000005,11,124,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,clear,135
10,0.59,0,30.54,36.998000000000005,30,54,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,clear,84
11,0.59,13,31.48,38.9978,24,83,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,mist,107
12,0.59,13,31.48,38.9978,17,50,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,mist,67
13,0.74,9,26.78,30.9986,14,64,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,mist,78
14,0.79,13,25.84,30.002,28,62,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,mist,90
15,0.84,26,24.9,28.0022,16,96,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,clear,112
16,0.84,15,24.9,28.0022,37,161,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,clear,198
17,0.74,0,25.84,30.002,48,437,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,clear,485
18,0.74,6,26.78,30.9986,60,473,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,clear,533
19,0.7,6,26.78,30.002,62,324,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,clear,386
20,0.74,9,25.84,30.002,55,247,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,clear,302
21,0.84,0,24.9,28.0022,41,153,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,clear,194
22,0.84,0,24.9,28.0022,13,112,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,clear,125
23,0.84,6,24.9,28.0022,23,64,0,0,1,0,7-25-2011,2011-07-25,Monday,is_2011,july,no,yes,clear,87
0,0.79,7,24.9,28.0022,8,20,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,28
1,0.79,7,24.9,28.0022,6,6,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,12
2,0.89,7,23.96,26.0024,1,6,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,7
3,0.89,9,23.96,26.0024,2,2,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,4
4,0.88,11,23.96,26.0024,0,6,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,6
5,0.89,6,23.02,22.9994,3,24,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,27
6,0.83,15,23.96,26.0024,2,108,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,110
7,0.66,19,25.84,28.9988,30,288,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,318
8,0.55,13,26.78,28.9988,32,392,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,424
9,0.4,15,27.72,28.9988,25,162,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,187
10,0.31,15,29.6,30.002,42,96,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,138
11,0.3,0,30.54,30.9986,49,102,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,151
12,0.28,0,31.48,32.0018,25,122,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,147
13,0.32,20,31.48,32.0018,43,139,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,182
14,0.3,19,32.42,32.9984,46,101,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,147
15,0.28,22,33.36,34.0016,49,114,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,163
16,0.36,19,32.42,34.0016,41,213,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,254
17,0.36,24,32.42,34.0016,72,465,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,537
18,0.39,26,31.48,32.9984,68,478,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,546
19,0.43,20,30.54,32.9984,69,329,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,398
20,0.46,17,29.6,32.0018,47,243,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,290
21,0.49,15,28.66,30.9986,45,222,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,267
22,0.55,9,27.72,30.002,27,131,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,158
23,0.58,7,27.72,30.9986,18,71,0,0,1,0,7-26-2011,2011-07-26,Tuesday,is_2011,july,no,yes,clear,89
0,0.52,11,28.66,30.9986,19,26,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,mist,45
1,0.49,13,28.66,30.9986,1,9,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,10
2,0.52,20,27.72,30.002,1,5,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,6
3,0.58,11,25.84,28.0022,0,4,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,4
4,0.51,13,25.84,28.0022,1,3,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,4
5,0.54,19,24.9,26.999,0,18,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,18
6,0.54,15,24.9,26.999,4,119,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,123
7,0.48,17,25.84,28.0022,34,313,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,347
8,0.42,17,26.78,28.0022,28,405,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,433
9,0.35,17,27.72,28.0022,27,189,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,216
10,0.33,0,28.66,28.9988,32,82,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,114
11,0.31,0,29.6,30.002,42,94,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,136
12,0.3,19,30.54,30.9986,37,132,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,169
13,0.3,24,31.48,32.0018,29,151,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,180
14,0.28,15,31.48,32.0018,20,107,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,127
15,0.26,17,32.42,32.9984,37,103,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,140
16,0.25,11,32.42,32.0018,40,228,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,268
17,0.26,15,31.48,30.9986,81,491,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,572
18,0.28,7,30.54,30.9986,78,463,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,541
19,0.29,6,29.6,30.002,87,288,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,375
20,0.45,15,27.72,28.9988,55,239,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,294
21,0.48,7,26.78,28.0022,49,196,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,245
22,0.48,0,25.84,28.0022,37,143,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,180
23,0.45,6,26.78,28.0022,16,93,0,0,1,0,7-27-2011,2011-07-27,Wednesday,is_2011,july,no,yes,clear,109
0,0.51,9,24.9,26.999,14,31,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,45
1,0.51,0,25.84,28.0022,3,26,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,29
2,0.54,7,25.84,28.0022,2,5,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,7
3,0.54,0,25.84,28.0022,0,5,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,5
4,0.61,7,24.9,26.999,0,6,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,6
5,0.65,7,24.9,26.999,1,26,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,27
6,0.7,6,24.9,26.999,6,110,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,116
7,0.7,11,25.84,28.9988,27,278,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,305
8,0.66,11,26.78,30.002,47,409,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,456
9,0.59,13,28.66,32.9984,21,189,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,210
10,0.55,19,29.6,34.0016,30,86,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,116
11,0.56,19,31.48,38.0012,41,113,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,154
12,0.53,17,31.48,36.998000000000005,35,151,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,186
13,0.47,17,32.42,36.998000000000005,26,126,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,152
14,0.49,17,31.48,36.0014,27,111,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,mist,138
15,0.5,13,32.42,38.0012,22,124,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,146
16,0.47,11,32.42,36.998000000000005,42,214,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,256
17,0.53,13,31.48,36.998000000000005,45,423,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,468
18,0.56,15,31.48,38.0012,55,428,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,483
19,0.59,13,30.54,36.998000000000005,37,285,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,322
20,0.63,13,29.6,36.0014,41,229,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,270
21,0.66,19,28.66,34.0016,31,165,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,196
22,0.7,17,27.72,32.0018,25,149,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,174
23,0.75,13,27.72,32.9984,28,95,0,0,1,0,7-28-2011,2011-07-28,Thursday,is_2011,july,no,yes,clear,123
0,0.79,11,26.78,30.9986,12,45,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,clear,57
1,0.79,9,26.78,30.9986,12,22,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,clear,34
2,0.79,0,26.78,30.9986,3,10,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,clear,13
3,0.79,0,26.78,30.9986,2,9,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,clear,11
4,0.84,9,25.84,30.9986,2,4,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,clear,6
5,0.84,0,25.84,30.9986,4,23,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,clear,27
6,0.84,0,25.84,30.9986,7,83,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,mist,90
7,0.79,6,26.78,30.9986,26,228,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,mist,254
8,0.77,0,27.72,34.9982,30,354,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,mist,384
9,0.47,17,32.42,36.998000000000005,28,151,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,clear,179
10,0.42,19,34.3,40.001,37,69,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,clear,106
11,0.4,20,35.24,42.0008,43,118,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,clear,161
12,0.31,19,37.12,40.9976,40,95,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,clear,135
13,0.31,0,36.18,38.9978,42,114,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,clear,156
14,0.3,15,37.12,40.9976,34,114,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,clear,148
15,0.3,17,37.12,40.9976,40,129,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,clear,169
16,0.3,26,37.12,40.9976,35,198,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,clear,233
17,0.3,20,37.12,40.9976,47,374,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,clear,421
18,0.37,22,35.24,40.9976,49,313,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,clear,362
19,0.42,15,34.3,40.001,22,219,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,clear,241
20,0.41,22,32.42,36.0014,53,153,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,clear,206
21,0.46,11,30.54,34.0016,29,134,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,clear,163
22,0.49,15,29.6,32.9984,47,127,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,clear,174
23,0.52,7,28.66,30.9986,26,90,0,0,1,0,7-29-2011,2011-07-29,Friday,is_2011,july,no,yes,clear,116
0,0.55,13,27.72,30.002,60,73,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,133
1,0.55,6,27.72,30.002,15,75,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,90
2,0.55,7,27.72,30.002,11,31,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,42
3,0.62,11,26.78,28.9988,18,25,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,43
4,0.66,11,25.84,28.9988,4,6,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,10
5,0.7,19,25.84,28.9988,4,9,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,13
6,0.7,20,25.84,28.9988,6,18,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,24
7,0.66,13,27.72,32.0018,3,39,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,42
8,0.59,15,28.66,32.9984,27,87,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,114
9,0.46,20,30.54,34.0016,49,125,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,174
10,0.41,20,30.54,32.9984,79,182,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,261
11,0.36,13,31.48,32.9984,111,206,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,317
12,0.32,11,31.48,32.0018,111,230,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,341
13,0.29,0,33.36,34.0016,125,183,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,308
14,0.29,0,34.3,36.0014,112,193,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,305
15,0.31,9,34.3,36.998000000000005,113,189,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,302
16,0.27,15,34.3,36.0014,126,176,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,302
17,0.29,7,34.3,36.0014,93,209,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,302
18,0.28,13,33.36,34.0016,92,207,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,299
19,0.33,15,26.78,26.999,101,155,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,256
20,0.43,9,30.54,32.9984,74,132,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,206
21,0.49,11,29.6,32.9984,82,123,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,205
22,0.52,7,28.66,30.9986,80,129,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,209
23,0.55,6,27.72,30.002,63,114,0,0,1,0,7-30-2011,2011-07-30,Saturday,is_2011,july,no,no,clear,177
0,0.55,6,27.72,30.002,33,80,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,113
1,0.62,6,26.78,28.9988,8,71,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,79
2,0.66,6,26.78,30.002,19,48,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,67
3,0.66,0,26.78,30.002,24,26,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,50
4,0.7,0,25.84,28.9988,6,7,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,13
5,0.69,0,25.84,28.9988,4,4,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,8
6,0.7,0,26.78,30.002,5,8,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,13
7,0.58,9,26.78,28.9988,19,26,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,45
8,0.55,15,27.72,30.002,54,88,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,142
9,0.49,0,29.6,32.9984,55,128,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,183
10,0.36,11,31.48,32.9984,91,163,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,254
11,0.28,11,32.42,32.9984,112,163,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,275
12,0.25,13,34.3,34.9982,146,192,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,338
13,0.24,9,34.3,34.9982,142,152,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,294
14,0.24,11,34.3,34.9982,130,196,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,326
15,0.18,20,35.24,34.9982,109,184,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,293
16,0.17,19,35.24,34.9982,98,208,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,306
17,0.16,11,35.24,34.9982,114,206,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,320
18,0.41,19,32.42,36.0014,91,213,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,304
19,0.55,22,29.6,34.0016,87,187,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,274
20,0.55,22,29.6,34.0016,70,205,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,275
21,0.59,20,28.66,32.9984,68,96,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,164
22,0.7,20,26.78,30.002,25,71,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,96
23,0.66,15,26.78,30.002,14,56,0,0,1,0,7-31-2011,2011-07-31,Sunday,is_2011,july,no,no,clear,70
0,0.7,15,25.84,28.9988,7,22,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,29
1,0.74,13,25.84,30.002,5,12,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,17
2,0.74,7,24.9,28.0022,4,7,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,11
3,0.79,11,24.9,28.0022,0,4,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,4
4,0.83,9,23.02,24.0026,2,2,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,4
5,0.83,7,23.02,24.0026,2,24,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,26
6,0.83,6,23.02,24.0026,3,97,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,100
7,0.62,0,26.78,28.9988,24,258,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,282
8,0.43,13,29.6,32.0018,35,347,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,382
9,0.41,0,30.54,32.9984,27,139,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,166
10,0.36,11,32.42,34.0016,27,70,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,97
11,0.32,11,33.36,34.9982,53,66,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,119
12,0.33,17,34.3,36.998000000000005,53,115,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,168
13,0.31,20,34.3,36.998000000000005,38,112,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,150
14,0.29,13,35.24,38.0012,37,86,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,123
15,0.27,0,34.3,36.0014,52,77,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,129
16,0.27,0,34.3,36.0014,34,197,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,231
17,0.45,20,27.72,28.9988,69,445,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,514
18,0.43,13,28.66,30.002,68,475,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,543
19,0.51,15,26.78,28.0022,63,350,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,413
20,0.62,15,25.84,28.9988,49,256,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,305
21,0.7,17,24.9,26.999,42,178,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,220
22,0.7,6,24.9,26.999,21,116,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,137
23,0.74,13,23.96,26.0024,14,82,0,0,1,0,8-1-2011,2011-08-01,Monday,is_2011,august,no,yes,clear,96
0,0.74,0,23.02,24.9992,11,18,0,0,1,0,8-2-2011,2011-08-02,Tuesday,is_2011,august,no,yes,clear,29
1,0.74,7,23.02,24.9992,4,8,0,0,1,0,8-2-2011,2011-08-02,Tuesday,is_2011,august,no,yes,clear,12
2,0.69,0,23.96,26.0024,2,6,0,0,1,0,8-2-2011,2011-08-02,Tuesday,is_2011,august,no,yes,clear,8
3,0.74,13,23.02,24.9992,0,5,0,0,1,0,8-2-2011,2011-08-02,Tuesday,is_2011,august,no,yes,clear,5
4,0.74,7,23.02,24.9992,0,10,0,0,1,0,8-2-2011,2011-08-02,Tuesday,is_2011,august,no,yes,clear,10
5,0.74,9,23.02,24.9992,4,17,0,0,1,0,8-2-2011,2011-08-02,Tuesday,is_2011,august,no,yes,clear,21
6,0.69,7,23.96,26.0024,12,105,0,0,1,0,8-2-2011,2011-08-02,Tuesday,is_2011,august,no,yes,clear,117
7,0.61,19,25.84,28.0022,15,320,0,0,1,0,8-2-2011,2011-08-02,Tuesday,is_2011,august,no,yes,clear,335
8,0.58,19,26.78,28.9988,37,398,0,0,1,0,8-2-2011,2011-08-02,Tuesday,is_2011,august,no,yes,clear,435
9,0.46,20,28.66,30.002,31,182,0,0,1,0,8-2-2011,2011-08-02,Tuesday,is_2011,august,no,yes,clear,213
10,0.36,20,30.54,32.0018,50,90,0,0,1,0,8-2-2011,2011-08-02,Tuesday,is_2011,august,no,yes,clear,140
11,0.32,28,31.48,32.0018,32,96,0,0,1,0,8-2-2011,2011-08-02,Tuesday,is_2011,august,no,yes,clear,128
12,0.3,19,32.42,32.9984,45,112,0,0,1,0,8-2-2011,2011-08-02,Tuesday,is_2011,august,no,yes,clear,157
13,0.3,15,32.42,32.9984,50,153,0,0,1,0,8-2-2011,2011-08-02,Tuesday,is_2011,august,no,yes,clear,203
14,0.25,19,34.3,34.9982,45,114,0,0,1,0,8-2-2011,2011-08-02,Tuesday,is_2011,august,no,yes,clear,159
15,0.25,19,34.3,34.9982,48,120,0,0,1,0,8-2-2011,2011-08-02,Tuesday,is_2011,august,no,yes,clear,168
